pipeline_code,road_name,start_x,start_y,end_x,end_y
route5_scope-P0001,示例道路1,120.200000,36.100000,120.200700,36.100300
route5_scope-P0002,示例道路2,120.201000,36.100000,120.201700,36.100300
route5_scope-P0003,示例道路3,120.202000,36.100000,120.202700,36.100300
route5_scope-P0004,示例道路4,120.203000,36.100000,120.203700,36.100300
route5_scope-P0005,示例道路5,120.204000,36.100000,120.204700,36.100300
route5_scope-P0006,示例道路6,120.205000,36.100000,120.205700,36.100300
route5_scope-P0007,示例道路7,120.206000,36.100000,120.206700,36.100300
route5_scope-P0008,示例道路8,120.207000,36.100000,120.207700,36.100300
route5_scope-P0009,示例道路1,120.208000,36.100000,120.208700,36.100300
route5_scope-P0010,示例道路2,120.209000,36.100000,120.209700,36.100300
route5_scope-P0011,示例道路3,120.210000,36.100000,120.210700,36.100300
route5_scope-P0012,示例道路4,120.211000,36.100000,120.211700,36.100300
route5_scope-P0013,示例道路5,120.212000,36.100000,120.212700,36.100300
route5_scope-P0014,示例道路6,120.213000,36.100000,120.213700,36.100300
route5_scope-P0015,示例道路7,120.214000,36.100000,120.214700,36.100300
route5_scope-P0016,示例道路8,120.215000,36.100000,120.215700,36.100300
route5_scope-P0017,示例道路1,120.216000,36.100000,120.216700,36.100300
route5_scope-P0018,示例道路2,120.217000,36.100000,120.217700,36.100300
route5_scope-P0019,示例道路3,120.218000,36.100000,120.218700,36.100300
route5_scope-P0020,示例道路4,120.219000,36.100000,120.219700,36.100300
route5_scope-P0021,示例道路5,120.220000,36.100000,120.220700,36.100300
route5_scope-P0022,示例道路6,120.221000,36.100000,120.221700,36.100300
route5_scope-P0023,示例道路7,120.222000,36.100000,120.222700,36.100300
route5_scope-P0024,示例道路8,120.223000,36.100000,120.223700,36.100300
route5_scope-P0025,示例道路1,120.224000,36.100000,120.224700,36.100300
route5_scope-P0026,示例道路2,120.225000,36.100000,120.225700,36.100300
route5_scope-P0027,示例道路3,120.226000,36.100000,120.226700,36.100300
route5_scope-P0028,示例道路4,120.227000,36.100000,120.227700,36.100300
route5_scope-P0029,示例道路5,120.228000,36.100000,120.228700,36.100300
route5_scope-P0030,示例道路6,120.229000,36.100000,120.229700,36.100300
route5_scope-P0031,示例道路7,120.230000,36.100000,120.230700,36.100300
route5_scope-P0032,示例道路8,120.231000,36.100000,120.231700,36.100300
route5_scope-P0033,示例道路1,120.232000,36.100000,120.232700,36.100300
route5_scope-P0034,示例道路2,120.233000,36.100000,120.233700,36.100300
route5_scope-P0035,示例道路3,120.234000,36.100000,120.234700,36.100300
route5_scope-P0036,示例道路4,120.235000,36.100000,120.235700,36.100300
route5_scope-P0037,示例道路5,120.236000,36.100000,120.236700,36.100300
route5_scope-P0038,示例道路6,120.237000,36.100000,120.237700,36.100300
route5_scope-P0039,示例道路7,120.238000,36.100000,120.238700,36.100300
route5_scope-P0040,示例道路8,120.239000,36.100000,120.239700,36.100300
route5_scope-P0041,示例道路1,120.200000,36.101000,120.200700,36.101300
route5_scope-P0042,示例道路2,120.201000,36.101000,120.201700,36.101300
route5_scope-P0043,示例道路3,120.202000,36.101000,120.202700,36.101300
route5_scope-P0044,示例道路4,120.203000,36.101000,120.203700,36.101300
route5_scope-P0045,示例道路5,120.204000,36.101000,120.204700,36.101300
route5_scope-P0046,示例道路6,120.205000,36.101000,120.205700,36.101300
route5_scope-P0047,示例道路7,120.206000,36.101000,120.206700,36.101300
route5_scope-P0048,示例道路8,120.207000,36.101000,120.207700,36.101300
route5_scope-P0049,示例道路1,120.208000,36.101000,120.208700,36.101300
route5_scope-P0050,示例道路2,120.209000,36.101000,120.209700,36.101300
route5_scope-P0051,示例道路3,120.210000,36.101000,120.210700,36.101300
route5_scope-P0052,示例道路4,120.211000,36.101000,120.211700,36.101300
route5_scope-P0053,示例道路5,120.212000,36.101000,120.212700,36.101300
route5_scope-P0054,示例道路6,120.213000,36.101000,120.213700,36.101300
route5_scope-P0055,示例道路7,120.214000,36.101000,120.214700,36.101300
route5_scope-P0056,示例道路8,120.215000,36.101000,120.215700,36.101300
route5_scope-P0057,示例道路1,120.216000,36.101000,120.216700,36.101300
route5_scope-P0058,示例道路2,120.217000,36.101000,120.217700,36.101300
route5_scope-P0059,示例道路3,120.218000,36.101000,120.218700,36.101300
route5_scope-P0060,示例道路4,120.219000,36.101000,120.219700,36.101300
route5_scope-P0061,示例道路5,120.220000,36.101000,120.220700,36.101300
route5_scope-P0062,示例道路6,120.221000,36.101000,120.221700,36.101300
route5_scope-P0063,示例道路7,120.222000,36.101000,120.222700,36.101300
route5_scope-P0064,示例道路8,120.223000,36.101000,120.223700,36.101300
route5_scope-P0065,示例道路1,120.224000,36.101000,120.224700,36.101300
route5_scope-P0066,示例道路2,120.225000,36.101000,120.225700,36.101300
route5_scope-P0067,示例道路3,120.226000,36.101000,120.226700,36.101300
route5_scope-P0068,示例道路4,120.227000,36.101000,120.227700,36.101300
route5_scope-P0069,示例道路5,120.228000,36.101000,120.228700,36.101300
route5_scope-P0070,示例道路6,120.229000,36.101000,120.229700,36.101300
route5_scope-P0071,示例道路7,120.230000,36.101000,120.230700,36.101300
route5_scope-P0072,示例道路8,120.231000,36.101000,120.231700,36.101300
route5_scope-P0073,示例道路1,120.232000,36.101000,120.232700,36.101300
route5_scope-P0074,示例道路2,120.233000,36.101000,120.233700,36.101300
route5_scope-P0075,示例道路3,120.234000,36.101000,120.234700,36.101300
route5_scope-P0076,示例道路4,120.235000,36.101000,120.235700,36.101300
route5_scope-P0077,示例道路5,120.236000,36.101000,120.236700,36.101300
route5_scope-P0078,示例道路6,120.237000,36.101000,120.237700,36.101300
route5_scope-P0079,示例道路7,120.238000,36.101000,120.238700,36.101300
route5_scope-P0080,示例道路8,120.239000,36.101000,120.239700,36.101300
route5_scope-P0081,示例道路1,120.200000,36.102000,120.200700,36.102300
route5_scope-P0082,示例道路2,120.201000,36.102000,120.201700,36.102300
route5_scope-P0083,示例道路3,120.202000,36.102000,120.202700,36.102300
route5_scope-P0084,示例道路4,120.203000,36.102000,120.203700,36.102300
route5_scope-P0085,示例道路5,120.204000,36.102000,120.204700,36.102300
route5_scope-P0086,示例道路6,120.205000,36.102000,120.205700,36.102300
route5_scope-P0087,示例道路7,120.206000,36.102000,120.206700,36.102300
route5_scope-P0088,示例道路8,120.207000,36.102000,120.207700,36.102300
route5_scope-P0089,示例道路1,120.208000,36.102000,120.208700,36.102300
route5_scope-P0090,示例道路2,120.209000,36.102000,120.209700,36.102300
route5_scope-P0091,示例道路3,120.210000,36.102000,120.210700,36.102300
route5_scope-P0092,示例道路4,120.211000,36.102000,120.211700,36.102300
route5_scope-P0093,示例道路5,120.212000,36.102000,120.212700,36.102300
route5_scope-P0094,示例道路6,120.213000,36.102000,120.213700,36.102300
route5_scope-P0095,示例道路7,120.214000,36.102000,120.214700,36.102300
route5_scope-P0096,示例道路8,120.215000,36.102000,120.215700,36.102300
route5_scope-P0097,示例道路1,120.216000,36.102000,120.216700,36.102300
route5_scope-P0098,示例道路2,120.217000,36.102000,120.217700,36.102300
route5_scope-P0099,示例道路3,120.218000,36.102000,120.218700,36.102300
route5_scope-P0100,示例道路4,120.219000,36.102000,120.219700,36.102300
route5_scope-P0101,示例道路5,120.220000,36.102000,120.220700,36.102300
route5_scope-P0102,示例道路6,120.221000,36.102000,120.221700,36.102300
route5_scope-P0103,示例道路7,120.222000,36.102000,120.222700,36.102300
route5_scope-P0104,示例道路8,120.223000,36.102000,120.223700,36.102300
route5_scope-P0105,示例道路1,120.224000,36.102000,120.224700,36.102300
route5_scope-P0106,示例道路2,120.225000,36.102000,120.225700,36.102300
route5_scope-P0107,示例道路3,120.226000,36.102000,120.226700,36.102300
route5_scope-P0108,示例道路4,120.227000,36.102000,120.227700,36.102300
route5_scope-P0109,示例道路5,120.228000,36.102000,120.228700,36.102300
route5_scope-P0110,示例道路6,120.229000,36.102000,120.229700,36.102300
route5_scope-P0111,示例道路7,120.230000,36.102000,120.230700,36.102300
route5_scope-P0112,示例道路8,120.231000,36.102000,120.231700,36.102300
route5_scope-P0113,示例道路1,120.232000,36.102000,120.232700,36.102300
route5_scope-P0114,示例道路2,120.233000,36.102000,120.233700,36.102300
route5_scope-P0115,示例道路3,120.234000,36.102000,120.234700,36.102300
route5_scope-P0116,示例道路4,120.235000,36.102000,120.235700,36.102300
route5_scope-P0117,示例道路5,120.236000,36.102000,120.236700,36.102300
route5_scope-P0118,示例道路6,120.237000,36.102000,120.237700,36.102300
route5_scope-P0119,示例道路7,120.238000,36.102000,120.238700,36.102300
route5_scope-P0120,示例道路8,120.239000,36.102000,120.239700,36.102300
route5_scope-P0121,示例道路1,120.200000,36.103000,120.200700,36.103300
route5_scope-P0122,示例道路2,120.201000,36.103000,120.201700,36.103300
route5_scope-P0123,示例道路3,120.202000,36.103000,120.202700,36.103300
route5_scope-P0124,示例道路4,120.203000,36.103000,120.203700,36.103300
route5_scope-P0125,示例道路5,120.204000,36.103000,120.204700,36.103300
route5_scope-P0126,示例道路6,120.205000,36.103000,120.205700,36.103300
route5_scope-P0127,示例道路7,120.206000,36.103000,120.206700,36.103300
route5_scope-P0128,示例道路8,120.207000,36.103000,120.207700,36.103300
route5_scope-P0129,示例道路1,120.208000,36.103000,120.208700,36.103300
route5_scope-P0130,示例道路2,120.209000,36.103000,120.209700,36.103300
route5_scope-P0131,示例道路3,120.210000,36.103000,120.210700,36.103300
route5_scope-P0132,示例道路4,120.211000,36.103000,120.211700,36.103300
route5_scope-P0133,示例道路5,120.212000,36.103000,120.212700,36.103300
route5_scope-P0134,示例道路6,120.213000,36.103000,120.213700,36.103300
route5_scope-P0135,示例道路7,120.214000,36.103000,120.214700,36.103300
route5_scope-P0136,示例道路8,120.215000,36.103000,120.215700,36.103300
route5_scope-P0137,示例道路1,120.216000,36.103000,120.216700,36.103300
route5_scope-P0138,示例道路2,120.217000,36.103000,120.217700,36.103300
route5_scope-P0139,示例道路3,120.218000,36.103000,120.218700,36.103300
route5_scope-P0140,示例道路4,120.219000,36.103000,120.219700,36.103300
route5_scope-P0141,示例道路5,120.220000,36.103000,120.220700,36.103300
route5_scope-P0142,示例道路6,120.221000,36.103000,120.221700,36.103300
route5_scope-P0143,示例道路7,120.222000,36.103000,120.222700,36.103300
route5_scope-P0144,示例道路8,120.223000,36.103000,120.223700,36.103300
route5_scope-P0145,示例道路1,120.224000,36.103000,120.224700,36.103300
route5_scope-P0146,示例道路2,120.225000,36.103000,120.225700,36.103300
route5_scope-P0147,示例道路3,120.226000,36.103000,120.226700,36.103300
route5_scope-P0148,示例道路4,120.227000,36.103000,120.227700,36.103300
route5_scope-P0149,示例道路5,120.228000,36.103000,120.228700,36.103300
route5_scope-P0150,示例道路6,120.229000,36.103000,120.229700,36.103300
route5_scope-P0151,示例道路7,120.230000,36.103000,120.230700,36.103300
route5_scope-P0152,示例道路8,120.231000,36.103000,120.231700,36.103300
route5_scope-P0153,示例道路1,120.232000,36.103000,120.232700,36.103300
route5_scope-P0154,示例道路2,120.233000,36.103000,120.233700,36.103300
route5_scope-P0155,示例道路3,120.234000,36.103000,120.234700,36.103300
route5_scope-P0156,示例道路4,120.235000,36.103000,120.235700,36.103300
route5_scope-P0157,示例道路5,120.236000,36.103000,120.236700,36.103300
route5_scope-P0158,示例道路6,120.237000,36.103000,120.237700,36.103300
route5_scope-P0159,示例道路7,120.238000,36.103000,120.238700,36.103300
route5_scope-P0160,示例道路8,120.239000,36.103000,120.239700,36.103300
route5_scope-P0161,示例道路1,120.200000,36.104000,120.200700,36.104300
route5_scope-P0162,示例道路2,120.201000,36.104000,120.201700,36.104300
route5_scope-P0163,示例道路3,120.202000,36.104000,120.202700,36.104300
route5_scope-P0164,示例道路4,120.203000,36.104000,120.203700,36.104300
route5_scope-P0165,示例道路5,120.204000,36.104000,120.204700,36.104300
route5_scope-P0166,示例道路6,120.205000,36.104000,120.205700,36.104300
route5_scope-P0167,示例道路7,120.206000,36.104000,120.206700,36.104300
route5_scope-P0168,示例道路8,120.207000,36.104000,120.207700,36.104300
route5_scope-P0169,示例道路1,120.208000,36.104000,120.208700,36.104300
route5_scope-P0170,示例道路2,120.209000,36.104000,120.209700,36.104300
route5_scope-P0171,示例道路3,120.210000,36.104000,120.210700,36.104300
route5_scope-P0172,示例道路4,120.211000,36.104000,120.211700,36.104300
