point_x,point_y
120.200000,36.100000
120.200700,36.100300
120.201400,36.100600
120.202100,36.100900
120.202800,36.101200
120.203500,36.101500
120.204200,36.101800
120.204900,36.102100
120.205600,36.102400
120.206300,36.102700
120.207000,36.103000
120.207700,36.103300
120.208400,36.103600
120.209100,36.103900
120.209800,36.104200
120.210500,36.104500
120.211200,36.104800
120.211900,36.105100
120.212600,36.105400
120.213300,36.105700
120.214000,36.106000
120.214700,36.106300
120.215400,36.106600
120.216100,36.106900
